cdid,COUNTRY,DIRECTION,BASIS,SEASADJ,PERIOD,COMMODITY,PRICE
EOBX,JP,IM,BOP,SA,M,T,CP
EOBX,JP,IM,BOP,SA,Q,T,CP
EPOB,NZ,BAL,BOP,SA,A,T,CP
EPOB,NZ,BAL,BOP,SA,M,T,CP
EPOB,NZ,BAL,BOP,SA,Q,T,CP
EPMB,NZ,EX,BOP,SA,A,T,CP
EPMB,NZ,EX,BOP,SA,M,T,CP
EPMB,NZ,EX,BOP,SA,Q,T,CP
EPNB,NZ,IM,BOP,SA,A,T,CP
EPNB,NZ,IM,BOP,SA,M,T,CP
EPNB,NZ,IM,BOP,SA,Q,T,CP
EREK,KR,BAL,BOP,SA,A,T,CP
EREK,KR,BAL,BOP,SA,M,T,CP
EREK,KR,BAL,BOP,SA,Q,T,CP
ERDM,KR,EX,BOP,SA,A,T,CP
ERDM,KR,EX,BOP,SA,M,T,CP
ERDM,KR,EX,BOP,SA,Q,T,CP
ERDY,KR,IM,BOP,SA,A,T,CP
ERDY,KR,IM,BOP,SA,M,T,CP
ERDY,KR,IM,BOP,SA,Q,T,CP
EREG,SA,BAL,BOP,SA,A,T,CP
EREG,SA,BAL,BOP,SA,M,T,CP
EREG,SA,BAL,BOP,SA,Q,T,CP
ERDI,SA,EX,BOP,SA,A,T,CP
ERDI,SA,EX,BOP,SA,M,T,CP
ERDI,SA,EX,BOP,SA,Q,T,CP
ERDU,SA,IM,BOP,SA,A,T,CP
ERDU,SA,IM,BOP,SA,M,T,CP
ERDU,SA,IM,BOP,SA,Q,T,CP
J8YG,AE,BAL,BOP,SA,A,T,CP
J8YG,AE,BAL,BOP,SA,M,T,CP
J8YG,AE,BAL,BOP,SA,Q,T,CP
J8YH,AE,EX,BOP,SA,A,T,CP
J8YH,AE,EX,BOP,SA,M,T,CP
J8YH,AE,EX,BOP,SA,Q,T,CP
J8YI,AE,IM,BOP,SA,A,T,CP
J8YI,AE,IM,BOP,SA,M,T,CP
J8YI,AE,IM,BOP,SA,Q,T,CP
QATD,KW,BAL,BOP,SA,A,T,CP
QATD,KW,BAL,BOP,SA,M,T,CP
QATD,KW,BAL,BOP,SA,Q,T,CP
QATB,KW,EX,BOP,SA,A,T,CP
QATB,KW,EX,BOP,SA,M,T,CP
QATB,KW,EX,BOP,SA,Q,T,CP
QATC,KW,IM,BOP,SA,A,T,CP
QATC,KW,IM,BOP,SA,M,T,CP
QATC,KW,IM,BOP,SA,Q,T,CP
KO2S,QA,BAL,BOP,SA,A,T,CP
KO2S,QA,BAL,BOP,SA,M,T,CP
KO2S,QA,BAL,BOP,SA,Q,T,CP
KO2T,QA,EX,BOP,SA,A,T,CP
KO2T,QA,EX,BOP,SA,M,T,CP
KO2T,QA,EX,BOP,SA,Q,T,CP
KO2U,QA,IM,BOP,SA,A,T,CP
KO2U,QA,IM,BOP,SA,M,T,CP
KO2U,QA,IM,BOP,SA,Q,T,CP
KO2M,DZ,BAL,BOP,SA,A,T,CP
KO2M,DZ,BAL,BOP,SA,M,T,CP
KO2M,DZ,BAL,BOP,SA,Q,T,CP
KO2N,DZ,EX,BOP,SA,A,T,CP
KO2N,DZ,EX,BOP,SA,M,T,CP
KO2N,DZ,EX,BOP,SA,Q,T,CP
KO2O,DZ,IM,BOP,SA,A,T,CP
KO2O,DZ,IM,BOP,SA,M,T,CP
KO2O,DZ,IM,BOP,SA,Q,T,CP
QALH,BN,BAL,BOP,SA,A,T,CP
QALH,BN,BAL,BOP,SA,M,T,CP
QALH,BN,BAL,BOP,SA,Q,T,CP
QALF,BN,EX,BOP,SA,A,T,CP
QALF,BN,EX,BOP,SA,M,T,CP
QALF,BN,EX,BOP,SA,Q,T,CP
QALG,BN,IM,BOP,SA,A,T,CP
QALG,BN,IM,BOP,SA,M,T,CP
QALG,BN,IM,BOP,SA,Q,T,CP
FKMT,ID,BAL,BOP,SA,A,T,CP
FKMT,ID,BAL,BOP,SA,M,T,CP
FKMT,ID,BAL,BOP,SA,Q,T,CP
FKMR,ID,EX,BOP,SA,A,T,CP
FKMR,ID,EX,BOP,SA,M,T,CP
FKMR,ID,EX,BOP,SA,Q,T,CP
FKMS,ID,IM,BOP,SA,A,T,CP
FKMS,ID,IM,BOP,SA,M,T,CP
FKMS,ID,IM,BOP,SA,Q,T,CP
E6AG,IR,BAL,BOP,SA,A,T,CP
E6AG,IR,BAL,BOP,SA,M,T,CP
E6AG,IR,BAL,BOP,SA,Q,T,CP
E4ZS,IR,EX,BOP,SA,A,T,CP
E4ZS,IR,EX,BOP,SA,M,T,CP
E4ZS,IR,EX,BOP,SA,Q,T,CP
E4ZV,IR,IM,BOP,SA,A,T,CP
E4ZV,IR,IM,BOP,SA,M,T,CP
E4ZV,IR,IM,BOP,SA,Q,T,CP
KO2P,LY,BAL,BOP,SA,A,T,CP
KO2P,LY,BAL,BOP,SA,M,T,CP
KO2P,LY,BAL,BOP,SA,Q,T,CP
KO2Q,LY,EX,BOP,SA,A,T,CP
KO2Q,LY,EX,BOP,SA,M,T,CP
KO2Q,LY,EX,BOP,SA,Q,T,CP
KO2R,LY,IM,BOP,SA,A,T,CP
KO2R,LY,IM,BOP,SA,M,T,CP
KO2R,LY,IM,BOP,SA,Q,T,CP
QATG,NG,BAL,BOP,SA,A,T,CP
QATG,NG,BAL,BOP,SA,M,T,CP
QATG,NG,BAL,BOP,SA,Q,T,CP
QATE,NG,EX,BOP,SA,A,T,CP
QATE,NG,EX,BOP,SA,M,T,CP
QATE,NG,EX,BOP,SA,Q,T,CP
QATF,NG,IM,BOP,SA,A,T,CP
QATF,NG,IM,BOP,SA,M,T,CP
QATF,NG,IM,BOP,SA,Q,T,CP
E5GH,VE,BAL,BOP,SA,A,T,CP
E5GH,VE,BAL,BOP,SA,M,T,CP
E5GH,VE,BAL,BOP,SA,Q,T,CP
E4ZI,VE,EX,BOP,SA,A,T,CP
E4ZI,VE,EX,BOP,SA,M,T,CP
E4ZI,VE,EX,BOP,SA,Q,T,CP
E4ZQ,VE,IM,BOP,SA,A,T,CP
E4ZQ,VE,IM,BOP,SA,M,T,CP
E4ZQ,VE,IM,BOP,SA,Q,T,CP
E565,AL,BAL,BOP,SA,A,T,CP
E565,AL,BAL,BOP,SA,M,T,CP
E565,AL,BAL,BOP,SA,Q,T,CP
E25L,AL,EX,BOP,SA,A,T,CP
E25L,AL,EX,BOP,SA,M,T,CP
E25L,AL,EX,BOP,SA,Q,T,CP
E4ZJ,AL,IM,BOP,SA,A,T,CP
E4ZJ,AL,IM,BOP,SA,M,T,CP
E4ZJ,AL,IM,BOP,SA,Q,T,CP
E566,BY,BAL,BOP,SA,A,T,CP
E566,BY,BAL,BOP,SA,M,T,CP
E566,BY,BAL,BOP,SA,Q,T,CP
E2XF,BY,EX,BOP,SA,A,T,CP
E2XF,BY,EX,BOP,SA,M,T,CP
E2XF,BY,EX,BOP,SA,Q,T,CP
E4ZK,BY,IM,BOP,SA,A,T,CP
E4ZK,BY,IM,BOP,SA,M,T,CP
E4ZK,BY,IM,BOP,SA,Q,T,CP
E5GB,HR,BAL,BOP,SA,A,T,CP
E5GB,HR,BAL,BOP,SA,M,T,CP
E5GB,HR,BAL,BOP,SA,Q,T,CP
E2XQ,HR,EX,BOP,SA,A,T,CP
E2XQ,HR,EX,BOP,SA,M,T,CP
E2XQ,HR,EX,BOP,SA,Q,T,CP
E4ZN,HR,IM,BOP,SA,A,T,CP
E4ZN,HR,IM,BOP,SA,M,T,CP
E4ZN,HR,IM,BOP,SA,Q,T,CP
EREO,RU,BAL,BOP,SA,A,T,CP
EREO,RU,BAL,BOP,SA,M,T,CP
EREO,RU,BAL,BOP,SA,Q,T,CP
ERDQ,RU,EX,BOP,SA,A,T,CP
ERDQ,RU,EX,BOP,SA,M,T,CP
ERDQ,RU,EX,BOP,SA,Q,T,CP
EREC,RU,IM,BOP,SA,A,T,CP
EREC,RU,IM,BOP,SA,M,T,CP
EREC,RU,IM,BOP,SA,Q,T,CP
E5GC,UA,BAL,BOP,SA,A,T,CP
E5GC,UA,BAL,BOP,SA,M,T,CP
E5GC,UA,BAL,BOP,SA,Q,T,CP
E2XR,UA,EX,BOP,SA,A,T,CP
E2XR,UA,EX,BOP,SA,M,T,CP
E2XR,UA,EX,BOP,SA,Q,T,CP
E4ZO,UA,IM,BOP,SA,A,T,CP
E4ZO,UA,IM,BOP,SA,M,T,CP
E4ZO,UA,IM,BOP,SA,Q,T,CP
E6AF,AR,BAL,BOP,SA,A,T,CP
E6AF,AR,BAL,BOP,SA,M,T,CP
E6AF,AR,BAL,BOP,SA,Q,T,CP
E4ZR,AR,EX,BOP,SA,A,T,CP
E4ZR,AR,EX,BOP,SA,M,T,CP
E4ZR,AR,EX,BOP,SA,Q,T,CP
E4ZU,AR,IM,BOP,SA,A,T,CP
E4ZU,AR,IM,BOP,SA,M,T,CP
E4ZU,AR,IM,BOP,SA,Q,T,CP
FKMQ,BR,BAL,BOP,SA,A,T,CP
FKMQ,BR,BAL,BOP,SA,M,T,CP
FKMQ,BR,BAL,BOP,SA,Q,T,CP
FKMO,BR,EX,BOP,SA,A,T,CP
FKMO,BR,EX,BOP,SA,M,T,CP
FKMO,BR,EX,BOP,SA,Q,T,CP
FKMP,BR,IM,BOP,SA,A,T,CP
FKMP,BR,IM,BOP,SA,M,T,CP
FKMP,BR,IM,BOP,SA,Q,T,CP
E567,CL,BAL,BOP,SA,A,T,CP
E567,CL,BAL,BOP,SA,M,T,CP
E567,CL,BAL,BOP,SA,Q,T,CP
E2XO,CL,EX,BOP,SA,A,T,CP
E2XO,CL,EX,BOP,SA,M,T,CP
E2XO,CL,EX,BOP,SA,Q,T,CP
E4ZL,CL,IM,BOP,SA,A,T,CP
E4ZL,CL,IM,BOP,SA,M,T,CP
E4ZL,CL,IM,BOP,SA,Q,T,CP
E5EX,CO,BAL,BOP,SA,A,T,CP
E5EX,CO,BAL,BOP,SA,M,T,CP
E5EX,CO,BAL,BOP,SA,Q,T,CP
E2XP,CO,EX,BOP,SA,A,T,CP
E2XP,CO,EX,BOP,SA,M,T,CP
E2XP,CO,EX,BOP,SA,Q,T,CP
E4ZM,CO,IM,BOP,SA,A,T,CP
E4ZM,CO,IM,BOP,SA,M,T,CP
E4ZM,CO,IM,BOP,SA,Q,T,CP
E5GE,UY,BAL,BOP,SA,A,T,CP
E5GE,UY,BAL,BOP,SA,M,T,CP
E5GE,UY,BAL,BOP,SA,Q,T,CP
E4ZH,UY,EX,BOP,SA,A,T,CP
E4ZH,UY,EX,BOP,SA,M,T,CP
E4ZH,UY,EX,BOP,SA,Q,T,CP
E4ZP,UY,IM,BOP,SA,A,T,CP
E4ZP,UY,IM,BOP,SA,M,T,CP
E4ZP,UY,IM,BOP,SA,Q,T,CP
E6WY,MA,BAL,BOP,SA,A,T,CP
E6WY,MA,BAL,BOP,SA,M,T,CP
E6WY,MA,BAL,BOP,SA,Q,T,CP
E4ZT,MA,EX,BOP,SA,A,T,CP
E4ZT,MA,EX,BOP,SA,M,T,CP
E4ZT,MA,EX,BOP,SA,Q,T,CP
E4ZW,MA,IM,BOP,SA,A,T,CP
E4ZW,MA,IM,BOP,SA,M,T,CP
E4ZW,MA,IM,BOP,SA,Q,T,CP
QALN,EG,BAL,BOP,SA,A,T,CP
QALN,EG,BAL,BOP,SA,M,T,CP
QALN,EG,BAL,BOP,SA,Q,T,CP
QALL,EG,EX,BOP,SA,A,T,CP
QALL,EG,EX,BOP,SA,M,T,CP
QALL,EG,EX,BOP,SA,Q,T,CP
QALM,EG,IM,BOP,SA,A,T,CP
QALM,EG,IM,BOP,SA,M,T,CP
QALM,EG,IM,BOP,SA,Q,T,CP
EPOE,ZA,BAL,BOP,SA,A,T,CP
EPOE,ZA,BAL,BOP,SA,M,T,CP
EPOE,ZA,BAL,BOP,SA,Q,T,CP
EPME,ZA,EX,BOP,SA,A,T,CP
EPME,ZA,EX,BOP,SA,M,T,CP
EPME,ZA,EX,BOP,SA,Q,T,CP
EPNE,ZA,IM,BOP,SA,A,T,CP
EPNE,ZA,IM,BOP,SA,M,T,CP
EPNE,ZA,IM,BOP,SA,Q,T,CP
KO3M,BW,BAL,BOP,SA,A,T,CP
KO3M,BW,BAL,BOP,SA,M,T,CP
KO3M,BW,BAL,BOP,SA,Q,T,CP
KO3N,BW,EX,BOP,SA,A,T,CP
KO3N,BW,EX,BOP,SA,M,T,CP
KO3N,BW,EX,BOP,SA,Q,T,CP
KO3O,BW,IM,BOP,SA,A,T,CP
KO3O,BW,IM,BOP,SA,M,T,CP
KO3O,BW,IM,BOP,SA,Q,T,CP
KO3P,GH,BAL,BOP,SA,A,T,CP
KO3P,GH,BAL,BOP,SA,M,T,CP
KO3P,GH,BAL,BOP,SA,Q,T,CP
KO3Q,GH,EX,BOP,SA,A,T,CP
KO3Q,GH,EX,BOP,SA,M,T,CP
KO3Q,GH,EX,BOP,SA,Q,T,CP
KO3R,GH,IM,BOP,SA,A,T,CP
KO3R,GH,IM,BOP,SA,M,T,CP
KO3R,GH,IM,BOP,SA,Q,T,CP
EREL,CN,BAL,BOP,SA,A,T,CP
EREL,CN,BAL,BOP,SA,M,T,CP
EREL,CN,BAL,BOP,SA,Q,T,CP
ERDN,CN,EX,BOP,SA,A,T,CP
ERDN,CN,EX,BOP,SA,M,T,CP
ERDN,CN,EX,BOP,SA,Q,T,CP
ERDZ,CN,IM,BOP,SA,A,T,CP
ERDZ,CN,IM,BOP,SA,M,T,CP
ERDZ,CN,IM,BOP,SA,Q,T,CP
EREE,HK,BAL,BOP,SA,A,T,CP
EREE,HK,BAL,BOP,SA,M,T,CP
EREE,HK,BAL,BOP,SA,Q,T,CP
ERDG,HK,EX,BOP,SA,A,T,CP
ERDG,HK,EX,BOP,SA,M,T,CP
ERDG,HK,EX,BOP,SA,Q,T,CP
ERDS,HK,IM,BOP,SA,A,T,CP
ERDS,HK,IM,BOP,SA,M,T,CP
ERDS,HK,IM,BOP,SA,Q,T,CP
EREH,IN,BAL,BOP,SA,A,T,CP
EREH,IN,BAL,BOP,SA,M,T,CP
EREH,IN,BAL,BOP,SA,Q,T,CP
ERDJ,IN,EX,BOP,SA,A,T,CP
ERDJ,IN,EX,BOP,SA,M,T,CP
ERDJ,IN,EX,BOP,SA,Q,T,CP
ERDV,IN,IM,BOP,SA,A,T,CP
ERDV,IN,IM,BOP,SA,M,T,CP
ERDV,IN,IM,BOP,SA,Q,T,CP
EREJ,IL,BAL,BOP,SA,A,T,CP
EREJ,IL,BAL,BOP,SA,M,T,CP
EREJ,IL,BAL,BOP,SA,Q,T,CP
ERDL,IL,EX,BOP,SA,A,T,CP
ERDL,IL,EX,BOP,SA,M,T,CP
ERDL,IL,EX,BOP,SA,Q,T,CP
ERDX,IL,IM,BOP,SA,A,T,CP
ERDX,IL,IM,BOP,SA,M,T,CP
ERDX,IL,IM,BOP,SA,Q,T,CP
EREI,MY,BAL,BOP,SA,A,T,CP
EREI,MY,BAL,BOP,SA,M,T,CP
EREI,MY,BAL,BOP,SA,Q,T,CP
ERDK,MY,EX,BOP,SA,A,T,CP
ERDK,MY,EX,BOP,SA,M,T,CP
ERDK,MY,EX,BOP,SA,Q,T,CP
ERDW,MY,IM,BOP,SA,A,T,CP
ERDW,MY,IM,BOP,SA,M,T,CP
ERDW,MY,IM,BOP,SA,Q,T,CP
FKMW,PK,BAL,BOP,SA,A,T,CP
FKMW,PK,BAL,BOP,SA,M,T,CP
FKMW,PK,BAL,BOP,SA,Q,T,CP
FKMU,PK,EX,BOP,SA,A,T,CP
FKMU,PK,EX,BOP,SA,M,T,CP
FKMU,PK,EX,BOP,SA,Q,T,CP
FKMV,PK,IM,BOP,SA,A,T,CP
FKMV,PK,IM,BOP,SA,M,T,CP
FKMV,PK,IM,BOP,SA,Q,T,CP
FKMZ,PH,BAL,BOP,SA,A,T,CP
FKMZ,PH,BAL,BOP,SA,M,T,CP
FKMZ,PH,BAL,BOP,SA,Q,T,CP
FKMX,PH,EX,BOP,SA,A,T,CP
FKMX,PH,EX,BOP,SA,M,T,CP
FKMX,PH,EX,BOP,SA,Q,T,CP
FKMY,PH,IM,BOP,SA,A,T,CP
FKMY,PH,IM,BOP,SA,M,T,CP
FKMY,PH,IM,BOP,SA,Q,T,CP
EREF,SG,BAL,BOP,SA,A,T,CP
EREF,SG,BAL,BOP,SA,M,T,CP
EREF,SG,BAL,BOP,SA,Q,T,CP
ERDH,SG,EX,BOP,SA,A,T,CP
ERDH,SG,EX,BOP,SA,M,T,CP
ERDH,SG,EX,BOP,SA,Q,T,CP
ERDT,SG,IM,BOP,SA,A,T,CP
ERDT,SG,IM,BOP,SA,M,T,CP
ERDT,SG,IM,BOP,SA,Q,T,CP
EREN,TW,BAL,BOP,SA,A,T,CP
EREN,TW,BAL,BOP,SA,M,T,CP
EREN,TW,BAL,BOP,SA,Q,T,CP
ERDP,TW,EX,BOP,SA,A,T,CP
ERDP,TW,EX,BOP,SA,M,T,CP
ERDP,TW,EX,BOP,SA,Q,T,CP
EREB,TW,IM,BOP,SA,A,T,CP
EREB,TW,IM,BOP,SA,M,T,CP
EREB,TW,IM,BOP,SA,Q,T,CP
EREM,TH,BAL,BOP,SA,A,T,CP
EREM,TH,BAL,BOP,SA,M,T,CP
EREM,TH,BAL,BOP,SA,Q,T,CP
ERDO,TH,EX,BOP,SA,A,T,CP
ERDO,TH,EX,BOP,SA,M,T,CP
ERDO,TH,EX,BOP,SA,Q,T,CP
EREA,TH,IM,BOP,SA,A,T,CP
EREA,TH,IM,BOP,SA,M,T,CP
EREA,TH,IM,BOP,SA,Q,T,CP
KO2V,VN,BAL,BOP,SA,A,T,CP
KO2V,VN,BAL,BOP,SA,M,T,CP
KO2V,VN,BAL,BOP,SA,Q,T,CP
KO2W,VN,EX,BOP,SA,A,T,CP
KO2W,VN,EX,BOP,SA,M,T,CP
KO2W,VN,EX,BOP,SA,Q,T,CP
KO2X,VN,IM,BOP,SA,A,T,CP
KO2X,VN,IM,BOP,SA,M,T,CP
KO2X,VN,IM,BOP,SA,Q,T,CP
KO3S,LK,BAL,BOP,SA,A,T,CP
KO3S,LK,BAL,BOP,SA,M,T,CP
KO3S,LK,BAL,BOP,SA,Q,T,CP
KO3T,LK,EX,BOP,SA,A,T,CP
KO3T,LK,EX,BOP,SA,M,T,CP
KO3T,LK,EX,BOP,SA,Q,T,CP
KO3U,LK,IM,BOP,SA,A,T,CP
KO3U,LK,IM,BOP,SA,M,T,CP
KO3U,LK,IM,BOP,SA,Q,T,CP
E22W,E1,BAL,BOP,SA,A,T,CP
E22W,E1,BAL,BOP,SA,M,T,CP
E22W,E1,BAL,BOP,SA,Q,T,CP
E22K,E1,EX,BOP,SA,A,T,CP
E22K,E1,EX,BOP,SA,M,T,CP
E22K,E1,EX,BOP,SA,Q,T,CP
E22Q,E1,IM,BOP,SA,A,T,CP
E22Q,E1,IM,BOP,SA,M,T,CP
E22Q,E1,IM,BOP,SA,Q,T,CP
E25G,J8,BAL,BOP,SA,A,T,CP
E25G,J8,BAL,BOP,SA,M,T,CP
E25G,J8,BAL,BOP,SA,Q,T,CP
E22D,J8,EX,BOP,SA,A,T,CP
E22D,J8,EX,BOP,SA,M,T,CP
E22D,J8,EX,BOP,SA,Q,T,CP
E22E,J8,IM,BOP,SA,A,T,CP
E22E,J8,IM,BOP,SA,M,T,CP
E22E,J8,IM,BOP,SA,Q,T,CP
QAKY,I6,BAL,BOP,SA,A,T,CP
QAKY,I6,BAL,BOP,SA,M,T,CP
QAKY,I6,BAL,BOP,SA,Q,T,CP
QAKW,I6,EX,BOP,SA,A,T,CP
QAKW,I6,EX,BOP,SA,M,T,CP
QAKW,I6,EX,BOP,SA,Q,T,CP
QAKX,I6,IM,BOP,SA,A,T,CP
QAKX,I6,IM,BOP,SA,M,T,CP
QAKX,I6,IM,BOP,SA,Q,T,CP
LGCG,B4,BAL,BOP,SA,A,T,CP
LGCG,B4,BAL,BOP,SA,M,T,CP
LGCG,B4,BAL,BOP,SA,Q,T,CP
LGCK,B4,EX,BOP,SA,A,T,CP
LGCK,B4,EX,BOP,SA,M,T,CP
LGCK,B4,EX,BOP,SA,Q,T,CP
LGDC,B4,IM,BOP,SA,A,T,CP
LGDC,B4,IM,BOP,SA,M,T,CP
LGDC,B4,IM,BOP,SA,Q,T,CP
L87Q,B5,BAL,BOP,SA,A,T,CP
L87Q,B5,BAL,BOP,SA,M,T,CP
L87Q,B5,BAL,BOP,SA,Q,T,CP
L87S,B5,EX,BOP,SA,A,T,CP
L87S,B5,EX,BOP,SA,M,T,CP
L87S,B5,EX,BOP,SA,Q,T,CP
L87U,B5,IM,BOP,SA,A,T,CP
L87U,B5,IM,BOP,SA,M,T,CP
L87U,B5,IM,BOP,SA,Q,T,CP
